Company Name,Job Title,Salary Range,Tags,Posted Before
Wintermute,Product Marketing Manager,$25k - $120k,marketing:non tech:remote:node,22h
Wintermute,Trading DevOps Engineer,$60k - $180k,devops:dev,1d
Wintermute,Middle Office Specialist,,,18d
Wintermute,Head of Risk,$70k - $180k,executive,18d
Wintermute,Associate General Counsel,$24k - $140k,legal,30d
Wintermute,Community Manager,$40k - $101k,community manager:non tech:remote,2mo
Wintermute,Onboarding Specialist,,,2mo
Wintermute,DeFi Research Analyst,$45k - $120k,analyst:defi:remote,2mo
Wintermute,Strategy & Operations MBA intern - summer 2022,,intern:entry level:operations,2mo
Wintermute,Strategy & Operations MBA intern - part-time,,intern:entry level:operations:part time,3mo
Wintermute,Events Marketing Manager,$45k - $130k,marketing:non tech,3mo
Wintermute,Recruitment Coordinator,$40k - $70k,recruiter:non tech,3mo
Wintermute,Business Development Manager,$26k - $140k,sales:non tech,3mo
Wintermute,Middle Office Specialist,,,3mo
Wintermute,Smart Contract Developer,$80k - $200k,dev:smart contract:remote:solidity,3mo
Wintermute,Node Engineer,$60k - $155k,dev:javascript:node:remote,3mo
Wintermute,Strategy & Operations Manager,$60k - $200k,operations,3mo
Wintermute,Graduate DeFi DevOps Admin,,devops:intern:entry level:defi,3mo
Wintermute,Junior Visual Designer,,design:non tech:junior:entry level,4mo
Wintermute,UX Designer,$50k - $150k,design:non tech,4mo
Wintermute,Senior Finance Analyst,,analyst:finance:senior,4mo
Wintermute,"Product Manager, Institutional Trading",$69k - $160k,product manager:non tech,5mo
Wintermute,DeFi Envoy,$72k - $200k,defi:remote,5mo
Wintermute,Business Development Director - London/Singapore/USA/Remote,$29k - $108k,remote:sales:non tech:executive,5mo
Wintermute,Senior Algo Trading Quant,$78k - $200k,senior,5mo
Wintermute,Algorithmic Trader Graduate 2022,,intern:entry level:trader,5mo
Wintermute,Algorithmic Trader Graduate 2022,,intern:entry level:trader,5mo
Wintermute,Algorithmic Trader,$31k - $37k,trader,5mo
Wintermute,Algorithmic Trader,$31k - $37k,trader,5mo
Wintermute,Algo trading / developer intern 2022,$12k - $33k,dev:intern:entry level,5mo
Wintermute,Software Engineer (Python),$140k - $200k,dev:python,5mo
Wintermute,Senior Full Stack Engineer,$70k - $180k,dev:full stack:senior,5mo
Wintermute,Infrastructure Support,$40k - $80k,customer support,5mo
Wintermute,Core Developer (Python),$140k - $200k,dev:python,5mo
Wintermute,C++ Quant Developer,$100k - $150k,c:c plus plus:dev,5mo
Wintermute,Business Development & Partnerships Director Asia,$40k - $150k,sales:non tech:executive,5mo
Wintermute,Graduate Software Developer - DeFi - 2022,$12k - $33k,dev:intern:entry level:defi,5mo
Wintermute,Graduate Algorithmic Trader - DeFi,,intern:entry level:trader:defi,5mo
Wintermute,Software Developer - DeFi,$50k - $160k,dev:defi:solana:node:remote,6mo
Wintermute,Algorithmic Trader - DeFi,,trader:defi,6mo
Wintermute,Trading Integration Specialist,$40k - $120k,analyst,6mo
Wintermute,C++ Trading Platform Developer,$100k - $150k,c:c plus plus:dev,6mo
Wintermute,Product Manager,$69k - $160k,product manager:non tech,6mo
Wintermute,Venture Investments and M&A Director,$70k - $180k,executive,6mo
Wintermute,Marketing Director,$70k - $158k,executive:marketing:non tech,7mo
