Company Name,Job Title,Salary Range,Tags,Posted Before
Ledger,People Business Partner (US),$50k - $150k,,9h
Ledger,Senior SRE - System Engineer,$150k - $200k,dev:senior:sys admin,5d
Ledger,QA Engineer - Vault,$50k - $150k,dev:quality assurance,5d
Ledger,Front-End Engineer (React.JS)- Ledger Vault,$50k - $150k,javascript:dev:front end:react,7d
Ledger,Data Engineer,$70k - $160k,data science:dev,7d
Ledger,QA Automation Engineer,$50k - $150k,dev:quality assurance,11d
Ledger,Senior Risk Manager,$78k - $200k,senior,12d
Ledger,Junior Tax Specialist,,junior:entry level:accounting,12d
Ledger,Head of Internal Systems,$70k - $180k,executive,12d
Ledger,Employer Brand Specialist,$45k - $130k,marketing:non tech,13d
Ledger,Head of Engineering - NFT Platform,$63k - $180k,executive:nft,13d
Ledger,Employer Brand Specialist,$45k - $130k,marketing:non tech,13d
Ledger,Sales Operations Intern,,intern:entry level:operations:sales:non tech,15d
Ledger,Junior Financial Analyst (Infrastructure & Operations),,analyst:finance:junior:entry level:operations,15d
Ledger,"Data Scientist, Consumer Sales",,data science:sales:non tech,19d
Ledger,Director of Audience and Awareness,$70k - $180k,executive,20d
Ledger,Project Manager - Customer Success,,customer support:project manager:non tech,22d
Ledger,Operations Manager - Customer Success,$60k - $80k,customer support:operations,22d
Ledger,Tech Lead Back-End (Python) - Vault,,backend:lead:python:tech lead,22d
Ledger,Infrastructure Knowledge Management Officer,,,23d
Ledger,Tech Lead Back-End (Python) - Ledger Vault,,backend:lead:python:tech lead,23d
Ledger,Back-End Engineer (Python) - Vault,,backend:dev:python,23d
Ledger,Sales Lead Asia,,lead:sales:non tech,25d
Ledger,Sales Lead Asia,,lead:sales:non tech,26d
Ledger,Sales Lead Asia,,lead:sales:non tech,26d
Ledger,Team Lead Front-End Software Engineer - Ledger Live,$56k - $79k,dev:front end:lead:react,26d
Ledger,Developer Experience - JS Software Engineer (DX) - Ledger Live,$56k - $160k,javascript:dev:react:react native,26d
Ledger,Junior Mechanical Engineer,$45k - $180k,dev:junior:entry level,27d
Ledger,M&A Associate,,,27d
Ledger,Front-End Software Engineer - Ledger Live,$50k - $144k,dev:front end:react:react native,27d
Ledger,Engineering Project Manager,$50k - $150k,project manager:non tech,27d
Ledger,Learning & Development Manager,,,28d
Ledger,Learning & Development Manager,,,28d
Ledger,CRM Manager,,crm,29d
Ledger,Front-End Software Engineer - Ledger Live,$50k - $144k,dev:front end:react:react native,29d
Ledger,"Key Account Manager NFT, Art & Lifestyle",,account manager:nft,29d
Ledger,Partner Integration Analyst,$40k - $120k,analyst,30d
Ledger,Performance Marketing Manager,$45k - $130k,marketing:non tech,1mo
Ledger,Senior Hardware Engineering Project Manager (EPM),,hardware:project manager:non tech:senior,1mo
Ledger,Channel Marketing manager,$45k - $130k,marketing:non tech,1mo
Ledger,"Product Marketing Manager, Cards",$55k - $140k,marketing:non tech:nft,1mo
Ledger,QA Engineer - Web,$50k - $150k,dev:quality assurance,1mo
Ledger,CRO Specialist,,,1mo
Ledger,Product Owner Hardware Wallet,,product manager:non tech:hardware,1mo
Ledger,Industrialization and Test Engineer,$60k - $180k,dev,1mo
Ledger,Head of Web - Ledger.com,$70k - $180k,executive,1mo
Ledger,Firmware for Hardware Validation Engineer / Leader,,dev:hardware:lead,1mo
Ledger,Data Analyst - Manufacturing,$36k - $72k,analyst:data science,1mo
Ledger,Hardware/Firmware Engineer for products Industrialization,,dev:hardware,2mo
Ledger,Back-End Web Developer (NodeJS/Shopify),$65k - $150k,backend:dev:javascript:node:ecommerce,2mo
Ledger,Senior Mechanical Engineer / Lead,$140k - $220k,dev:lead:senior,2mo
Ledger,Software Architect - Blockchain,$120k - $300k,architecture:dev:blockchain,2mo
Ledger,Software Architect - Blockchain,$120k - $300k,architecture:dev:blockchain,2mo
Ledger,Head of Internal Audit,$70k - $180k,executive,2mo
Ledger,Head of Treasury (Cash & Digital Asset Operations),$150k - $230k,executive:operations,2mo
Ledger,Software Architect - Blockchain,$120k - $300k,architecture:dev:blockchain,2mo
Ledger,Software Architect - Blockchain,$120k - $300k,architecture:dev:blockchain:remote,2mo
Ledger,"Product Director, Payments and Transaction Services",$63k - $180k,executive:nft,2mo
Ledger,Data Protection Legal Counsel,$24k - $140k,legal,2mo
Ledger,Firmware Applications Engineer,$60k - $180k,dev,2mo
Ledger,Hardware Program Manager (Nanos & Accessories),,hardware:executive,2mo
Ledger,Customer Operations Manager,$60k - $200k,operations,2mo
Ledger,Senior Mechanical Engineer,$80k - $200k,dev:senior,2mo
Ledger,Strategy Manager,,,2mo
Ledger,Firmware Senior DevOps Engineer,$120k - $200k,devops:dev:senior,2mo
Ledger,"Data Analyst, Customer Success",$15k - $30k,analyst:customer support:data science:nft,2mo
Ledger,Blockchain Product Owner (Junior) - Developer Ecosystem,$135k - $175k,product manager:non tech:dev:junior:entry level,2mo
Ledger,Transactions & Payments Program Manager,$70k - $180k,executive,2mo
Ledger,Product Manager - Multi-Chain NFT Distribution Platform,$69k - $160k,product manager:non tech:nft,2mo
Ledger,Product Manager - Multi-Chain NFT Minting & Storage Platform,$69k - $160k,product manager:non tech:nft,2mo
Ledger,Marketplace GM,$55k - $150k,nft,2mo
Ledger,Product Manager - Multi-Chain NFT First-Sale Platform and Secondary Marketplace,$69k - $160k,product manager:non tech:nft,2mo
Ledger,Junior Project Manager - Internal Systems,,junior:entry level:project manager:non tech:remote,2mo
Ledger,VIP Service Business Manager,$50k - $150k,project manager:non tech,2mo
Ledger,Firmware Engineer - Embedded Rust,,embedded:dev:rust,2mo
Ledger,QA Engineer - Vault,$50k - $150k,dev:quality assurance,3mo
Ledger,Embedded Software Engineer - Rust,,embedded:dev:rust,3mo
Ledger,Embedded Software Engineer - Rust,,embedded:dev:rust,3mo
Ledger,Embedded Software Engineer - Rust,,embedded:dev:rust:remote,3mo
Ledger,Senior SRE - System Engineer,$150k - $200k,dev:senior:sys admin,3mo
Ledger,QA Engineer/ SDET - Ledger B2C,$100k - $150k,c:c plus plus:dev:quality assurance,3mo
Ledger,Senior FP&A Analyst - Corporate Functions,$150k - $185k,analyst:senior,4mo
Ledger,Product Manager Vault - Ledger Enterprise Solutions,$69k - $160k,product manager:non tech,4mo
Ledger,Scrum Master - Ledger Live,,scrum,4mo
Ledger,Product Marketing Manager - Card & Services,$45k - $130k,marketing:non tech,4mo
Ledger,Product Owner hardware wallets,,product manager:non tech:hardware,4mo
Ledger,Senior Product Manager - Next Generation Web 3 Hardware,,hardware:product manager:non tech:senior,4mo
Ledger,B2C Security Engineer,$100k - $150k,c:c plus plus:dev:security,4mo
Ledger,Product Analyst - Intern,$20k - $30k,analyst:intern:entry level,4mo
Ledger,NFT Studio Director & Integration Program Lead,$140k - $200k,executive:lead:nft,4mo
Ledger,Device connectivity Product Owner - Ledger Live,$115k - $175k,product manager:non tech:remote,5mo
Ledger,Backend Engineer - Vault,$60k - $180k,backend:dev,5mo
Ledger,Hardware Engineer,,dev:hardware,5mo
Ledger,Engineering Manager B2C - Backend Services,$130k - $150k,c:c plus plus:executive:backend,5mo
Ledger,SDK Software Engineer,$60k - $180k,dev,5mo
Ledger,Crypto* Talent Acquisition Manager,$30k - $50k,recruiter:non tech:crypto,5mo
Ledger,Firmware Applications Engineer,$60k - $180k,dev,5mo
Ledger,Legal Intern - Business law,,intern:entry level:legal,5mo
Ledger,Senior Tech Talent Acquisition Manager,$40k - $70k,senior:recruiter:non tech,5mo
Ledger,Head of QA,,executive:quality assurance,5mo
Ledger,Sales Manager EMEA,$26k - $140k,sales:non tech,5mo
Ledger,Crypto Specialist,$39k - $140k,crypto,6mo
Ledger,Engineering Manager B2C,$130k - $150k,c:c plus plus:executive,6mo
Ledger,Crypto Specialist,$39k - $140k,crypto,6mo
Ledger,Technical Community Manager,$40k - $100k,community manager:non tech,6mo
Ledger,Cyber Security Technical Assurance Manager,$95k - $200k,security,6mo
Ledger,Blockchain Developer Advocate,$50k - $170k,dev:blockchain,6mo
Ledger,Senior Web Developer (WordPress/Shopify/JavaScript) - Ecommerce,$220k - $400k,dev:ecommerce:javascript:senior:wordpress,6mo
Ledger,Technical Customer Success Specialist - German speaking,$40k - $80k,customer support,6mo
Ledger,Infrastructure Lead,$60k - $200k,lead,6mo
Ledger,Sales Director EMEA,$40k - $150k,executive:sales:non tech,6mo
Ledger,SDK Software Engineer - Ledger Live,$60k - $180k,dev,6mo
