Company Name,Job Title,Salary Range,Tags,Posted Before
Vauld,Compliance Associate,,compliance,3h
Vauld,Principal Engineering Recruiter - Remote (India),,remote:executive:recruiter:non tech,16d
Vauld,Lead Product Manager - Singapore,,lead:product manager:non tech,18d
Vauld,Human Resources - People Partner,,,18d
Vauld,Principal Engineer - Singapore,$200k - $400k,dev:executive:node:java:golang,18d
Vauld,Lead UX Designer - Singapore,$40k - $190k,design:non tech:lead,18d
Vauld,Lead User Interface Designer - Singapore,$40k - $190k,design:non tech:lead,18d
Vauld,Senior Product Analyst,$150k - $185k,analyst:senior,18d
Vauld,Head of Compliance - USA,,compliance:executive:remote,18d
Vauld,Senior UI/UX Designer,$60k - $120k,design:non tech:senior,2mo
Vauld,Anti-Money Laundering Officer,$56k - $160k,remote,2mo
Vauld,Recruitment Marketing Lead/ Principal,$50k - $120k,lead:marketing:non tech:executive:recruiter,3mo
Vauld,Head of Compliance - India,,compliance:executive,3mo
Vauld,Talent Sourcer,,recruiter:non tech:remote,3mo
Vauld,Blockchain Developer,$52k - $160k,dev:blockchain:solidity:ethereum:javascript,3mo
Vauld,Product Manager,$69k - $160k,product manager:non tech,3mo
Vauld,Head of Compliance,,compliance:executive,4mo
Vauld,Content Editors,,,4mo
Vauld,Senior Engineering Recruiter,$40k - $70k,recruiter:non tech:senior,5mo
Vauld,Engineering Recruiter,$40k - $70k,recruiter:non tech,5mo
Vauld,Product Manager,$69k - $160k,product manager:non tech,5mo
Vauld,AVP Marketing,$45k - $130k,marketing:non tech,5mo
Vauld,Technical Analysts,$40k - $120k,analyst,5mo
Vauld,Crypto Journalist,$39k - $140k,crypto,5mo
Vauld,Legal Manager,$24k - $140k,legal,5mo
Vauld,Company Secretary,,,5mo
Vauld,Executive Assistant to the CEO,$70k - $180k,executive,5mo
Vauld,Director of Banking Partnerships,$40k - $140k,sales:non tech:finance:executive,5mo
Vauld,SDET - (UI/App Automation and Manual Testing),$50k - $150k,design:non tech,5mo
Vauld,SDET - (Backend Automation and Manual Testing),$65k - $180k,backend,5mo
Vauld,Mobile Developer,$65k - $200k,dev:mobile,5mo
Vauld,Lead Frontend Engineer,$56k - $79k,dev:front end:lead:react:javascript,5mo
Vauld,Frontend Engineer,$50k - $144k,dev:front end:react:javascript,5mo
Vauld,Senior Backend Engineer,$70k - $200k,backend:dev:senior:node:golang,5mo
Vauld,Lead Backend Engineer,$100k - $180k,backend:dev:lead:node:golang,5mo
Vauld,Lead UX Designer,$40k - $190k,design:non tech:lead,5mo
Vauld,Senior Data Engineer,$130k - $160k,data science:dev:senior,5mo
Vauld,Customer Support Shift Lead,$25k - $35k,customer support:lead,5mo
Vauld,Customer Support Quality Analyst,$15k - $95k,analyst:customer support,5mo
Vauld,Customer Support Associate,$40k - $80k,customer support,5mo
Vauld,Market Analyst,$40k - $120k,analyst,5mo
Vauld,Market Analysts,$40k - $120k,analyst,6mo
Vauld,Devops Engineer,$70k - $180k,devops:dev,6mo
Vauld,Lead User Interface Designer,$40k - $190k,design:non tech:lead,6mo
Vauld,Senior UX Designer,$60k - $120k,design:non tech:senior,6mo
