Company Name,Job Title,Salary Range,Tags,Posted Before
Chain,Operations Manager,$80k - $110k,operations:remote,15d
Chain,Senior Project Manager,,project manager:non tech:senior:remote,15d
Chain,IT Support Specialist,$40k - $80k,customer support:remote,16d
Chain,Chain Core Marketing Lead,$50k - $120k,lead:marketing:non tech:remote,16d
Chain,SEO Manager,,seo:non tech:remote,16d
Chain,Finance Manager,$40k - $100k,finance:remote,16d
Chain,Public Relations Director,$70k - $158k,marketing:non tech:executive:remote,16d
Chain,Partnerships Director,$40k - $150k,sales:non tech:executive:remote,16d
Chain,Defi Operations Specialist,,operations:defi:remote,16d
Chain,Sequence Marketing Lead,$50k - $120k,lead:marketing:non tech:remote,16d
Chain,Brand Director,$70k - $158k,marketing:non tech:executive:remote,16d
Chain,Financial Accountant,,accounting:finance:remote,19d
Chain,Videographer,$56k - $160k,remote,20d
Chain,People Operations Manager,$80k - $110k,operations:remote,20d
Chain,Web3 Solutions Architect,$67k - $300k,architecture:remote,21d
Chain,Systems Architect,$67k - $300k,architecture:remote,26d
Chain,Researcher,$56k - $160k,remote,27d
Chain,Security Analyst,,analyst:security:remote,1mo
Chain,Technical Documentation Lead,$95k - $200k,lead:remote,1mo
Chain,Security Engineer,$95k - $250k,dev:security:remote,1mo
Chain,Support Analyst,$40k - $95k,analyst:customer support:remote,1mo
Chain,QA Engineer,,dev:quality assurance:remote,1mo
Chain,Senior Rust Engineer,$120k - $210k,dev:rust:senior:remote,1mo
Chain,Full Stack Developer,$70k - $200k,dev:full stack:remote,1mo
Chain,Data Scientist,$50k - $135k,data science:remote,1mo
Chain,Senior Support Analyst,,analyst:senior:customer support:remote,2mo
Chain,Senior Social Media Manager,,senior:social media:non tech:remote,2mo
Chain,Senior Solidity Engineer,$80k - $200k,dev:senior:solidity:remote:ethereum,3mo
Chain,Head of Business Development,$40k - $150k,executive:sales:non tech:remote,3mo
Chain,Senior Frontend Engineer,$70k - $190k,dev:front end:senior:remote,3mo
Chain,Senior Product Designer,$60k - $120k,design:non tech:senior:remote,3mo
Chain,Chief Financial Officer,$40k - $225k,executive:finance:remote,3mo
Chain,Senior Backend Engineer,$70k - $200k,backend:dev:senior:remote,3mo
Chain,Chief Marketing Officer,$70k - $158k,executive:marketing:non tech:remote,4mo
Chain,Chief Revenue Officer,$79k - $200k,executive:remote,4mo
Chain,Chief Technology Officer,$79k - $300k,executive:remote:cto,4mo
